code,valid intentions,gpt intentions
"public int eta(int[] counts, boolean reload) {
        double revYesRate;
        double revTime;
        double lrnYesRate;
        double lrnTime;
        if (reload || mEtaCache[0] == -1) {
            Cursor cur = null;
            try {
                cur = mCol
                        .getDb()
                        .getDatabase()
                        .rawQuery(
                                ""SELECT avg(CASE WHEN ease > 1 THEN 1.0 ELSE 0.0 END), avg(time) FROM revlog WHERE type = 1 AND id > ""
                                        + ((mCol.getSched().getDayCutoff() - (7 * 86400)) * 1000), null);
                if (!cur.moveToFirst()) {
                    return -1;
                }
                revYesRate = cur.getDouble(0);
                revTime = cur.getDouble(1);
                cur = mCol
                        .getDb()
                        .getDatabase()
                        .rawQuery(
                                ""SELECT avg(CASE WHEN ease = 3 THEN 1.0 ELSE 0.0 END), avg(time) FROM revlog WHERE type != 1 AND id > ""
                                        + ((mCol.getSched().getDayCutoff() - (7 * 86400)) * 1000), null);
                if (!cur.moveToFirst()) {
                    return -1;
                }
                lrnYesRate = cur.getDouble(0);
                lrnTime = cur.getDouble(1);
            } finally {
                if (cur != null && !cur.isClosed()) {
                    cur.close();
                }
            }
            mEtaCache[0] = revYesRate;
            mEtaCache[1] = revTime;
            mEtaCache[2] = lrnYesRate;
            mEtaCache[3] = lrnTime;
        } else {
            revYesRate = mEtaCache[0];
            revTime = mEtaCache[1];
            lrnYesRate = mEtaCache[2];
            lrnTime = mEtaCache[3];
        }
        // rev cards
        double eta = revTime * counts[2];
        // lrn cards
        double factor = Math.min(1 / (1 - lrnYesRate), 10);
        double lrnAnswers = (counts[0] + counts[1] + counts[2] * (1 - revYesRate)) * factor;
        eta += lrnAnswers * lrnTime;
        return (int) (eta / 60000);
    }","[('9', 'acquire', 'cur'), ('20', 'acquire', 'cur'), ('32', 'check', 'cur'), ('33', 'release', 'cur')]","[(9, 'acquire', 'cur', 'Cursor'), (20, 'acquire', 'cur', 'Cursor'), (32, 'check', 'cur', 'Cursor'), (33, 'release', 'cur', 'Cursor')]"
"public int eta(int[] counts, boolean reload) {
        double revYesRate;
        double revTime;
        double lrnYesRate;
        double lrnTime;
        if (reload || mEtaCache[0] == -1) {
            Cursor cur = null;
            try {
                cur = mCol
                        .getDb()
                        .getDatabase()
                        .rawQuery(
                                ""SELECT avg(CASE WHEN ease > 1 THEN 1.0 ELSE 0.0 END), avg(time) FROM revlog WHERE type = 1 AND id > ""
                                        + ((mCol.getSched().getDayCutoff() - (7 * 86400)) * 1000), null);
                if (!cur.moveToFirst()) {
                    return -1;
                }
                revYesRate = cur.getDouble(0);
                revTime = cur.getDouble(1);

                if (cur != null && !cur.isClosed()) {
                    cur.close();
                }

                cur = mCol
                        .getDb()
                        .getDatabase()
                        .rawQuery(
                                ""SELECT avg(CASE WHEN ease = 3 THEN 1.0 ELSE 0.0 END), avg(time) FROM revlog WHERE type != 1 AND id > ""
                                        + ((mCol.getSched().getDayCutoff() - (7 * 86400)) * 1000), null);
                if (!cur.moveToFirst()) {
                    return -1;
                }
                lrnYesRate = cur.getDouble(0);
                lrnTime = cur.getDouble(1);
            } finally {
                if (cur != null && !cur.isClosed()) {
                    cur.close();
                }
            }
            mEtaCache[0] = revYesRate;
            mEtaCache[1] = revTime;
            mEtaCache[2] = lrnYesRate;
            mEtaCache[3] = lrnTime;
        } else {
            revYesRate = mEtaCache[0];
            revTime = mEtaCache[1];
            lrnYesRate = mEtaCache[2];
            lrnTime = mEtaCache[3];
        }
        // rev cards
        double eta = revTime * counts[2];
        // lrn cards
        double factor = Math.min(1 / (1 - lrnYesRate), 10);
        double lrnAnswers = (counts[0] + counts[1] + counts[2] * (1 - revYesRate)) * factor;
        eta += lrnAnswers * lrnTime;
        return (int) (eta / 60000);
    }","[('9', 'acquire', 'cur'), ('21', 'check', 'cur'), ('22', 'release', 'cur'), ('25', 'acquire', 'cur'), ('37', 'check', 'cur'), ('38', 'release', 'cur')]","[(9, 'acquire', 'cur', 'Cursor'), (21, 'check', 'cur', 'Cursor'), (22, 'release', 'cur', 'Cursor'), (25, 'acquire', 'cur', 'Cursor'), (37, 'check', 'cur', 'Cursor'), (38, 'release', 'cur', 'Cursor')]"
"public boolean hasKey(String key) {
        return getDB().getDatabase().rawQuery(""SELECT 1 FROM deckVars WHERE key = '"" + key + ""'"", null).moveToNext();
    }","[('2', 'acquire', 'cursor')]",[]
"public boolean hasKey(String key) {
        Cursor cur = null;
        try {
            cur = getDB().getDatabase().rawQuery(""SELECT 1 FROM deckVars WHERE key = '"" + key + ""'"", null);
            return cur.moveToNext();
        } finally {
            if (cur != null) {
                cur.close();
            }	
        }
    }","[('4', 'acquire', 'Cursor'), ('7', 'check', 'Cursor'), ('8', 'release', 'Cursor')]","[(4, 'acquire', 'cur', 'Cursor'), (7, 'check', 'cur', 'Cursor'), (8, 'release', 'cur', 'Cursor')]"
"private static SQLiteDatabase upgradeDB(SQLiteDatabase mMetaDb, int databaseVersion) {
        Timber.i(""MetaDB:: Upgrading Internal Database.."");
        // if (mMetaDb.getVersion() == 0) {
        Timber.i(""MetaDB:: Applying changes for version: 0"");
        if (mMetaDb.getVersion() < 4) {
            mMetaDb.execSQL(""DROP TABLE IF EXISTS languages;"");
            mMetaDb.execSQL(""DROP TABLE IF EXISTS customDictionary;"");
            mMetaDb.execSQL(""DROP TABLE IF EXISTS whiteboardState;"");
        }
        // Create tables if not exist
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS languages ("" + "" _id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, ord INTEGER, "" + ""qa INTEGER, "" + ""language TEXT)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS whiteboardState ("" + ""_id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, "" + ""state INTEGER)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS customDictionary ("" + ""_id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, "" + ""dictionary INTEGER)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS smallWidgetStatus ("" + ""id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""due INTEGER NOT NULL, eta INTEGER NOT NULL)"");
        // Use pragma to get info about widgetStatus.
        Cursor c = mMetaDb.rawQuery(""PRAGMA table_info(widgetStatus)"", null);
        int columnNumber = c.getCount();
        if (columnNumber > 0) {
            if (columnNumber < 7) {
                mMetaDb.execSQL(""ALTER TABLE widgetStatus "" + ""ADD COLUMN eta INTEGER NOT NULL DEFAULT '0'"");
                mMetaDb.execSQL(""ALTER TABLE widgetStatus "" + ""ADD COLUMN time INTEGER NOT NULL DEFAULT '0'"");
            }
        } else {
            mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS widgetStatus ("" + ""deckId INTEGER NOT NULL PRIMARY KEY, ""
                    + ""deckName TEXT NOT NULL, "" + ""newCards INTEGER NOT NULL, "" + ""lrnCards INTEGER NOT NULL, ""
                    + ""dueCards INTEGER NOT NULL, "" + ""progress INTEGER NOT NULL, "" + ""eta INTEGER NOT NULL)"");
        }
        mMetaDb.setVersion(databaseVersion);
        Timber.i(""MetaDB:: Upgrading Internal Database finished. New version: %d"", databaseVersion);
        return mMetaDb;
    }",[],"[(1, 'acquire', 'mMetaDb', 'SQLiteDatabase'), (20, 'acquire', 'c', 'Cursor')]"
"private static SQLiteDatabase upgradeDB(SQLiteDatabase mMetaDb, int databaseVersion) {
        Timber.i(""MetaDB:: Upgrading Internal Database.."");
        // if (mMetaDb.getVersion() == 0) {
        Timber.i(""MetaDB:: Applying changes for version: 0"");

        if (mMetaDb.getVersion() < 4) {
            mMetaDb.execSQL(""DROP TABLE IF EXISTS languages;"");
            mMetaDb.execSQL(""DROP TABLE IF EXISTS customDictionary;"");
            mMetaDb.execSQL(""DROP TABLE IF EXISTS whiteboardState;"");
        }

        // Create tables if not exist
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS languages ("" + "" _id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, ord INTEGER, "" + ""qa INTEGER, "" + ""language TEXT)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS whiteboardState ("" + ""_id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, "" + ""state INTEGER)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS customDictionary ("" + ""_id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, "" + ""dictionary INTEGER)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS smallWidgetStatus ("" + ""id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""due INTEGER NOT NULL, eta INTEGER NOT NULL)"");
        // Use pragma to get info about widgetStatus.
        Cursor c = null;
        try {
             c = mMetaDb.rawQuery(""PRAGMA table_info(widgetStatus)"", null);
            int columnNumber = c.getCount();
            if (columnNumber > 0) {
                if (columnNumber < 7) {
                    mMetaDb.execSQL(""ALTER TABLE widgetStatus "" + ""ADD COLUMN eta INTEGER NOT NULL DEFAULT '0'"");
                    mMetaDb.execSQL(""ALTER TABLE widgetStatus "" + ""ADD COLUMN time INTEGER NOT NULL DEFAULT '0'"");
                }
            } else {
                mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS widgetStatus ("" + ""deckId INTEGER NOT NULL PRIMARY KEY, ""
                        + ""deckName TEXT NOT NULL, "" + ""newCards INTEGER NOT NULL, "" + ""lrnCards INTEGER NOT NULL, ""
                        + ""dueCards INTEGER NOT NULL, "" + ""progress INTEGER NOT NULL, "" + ""eta INTEGER NOT NULL)"");
            }
            mMetaDb.setVersion(databaseVersion);
            Timber.i(""MetaDB:: Upgrading Internal Database finished. New version: %d"", databaseVersion);
            return mMetaDb;
        } finally {
            if (c != null) {
                c.close();
            }
        }
    }",[],"[(1, 'acquire', 'mMetaDb', 'SQLiteDatabase'), (24, 'acquire', 'c', 'Cursor'), (40, 'check', 'c', 'Cursor'), (41, 'release', 'c', 'Cursor')]"
"private void addWords(Cursor cursor) {
    	int newCount = 0;
    	long newHash = 0;
    	//first checking if something has changed
    	if (cursor.moveToFirst()) {
            while (!cursor.isAfterLast()) {
                String name = cursor.getString(INDEX_NAME);
                if(name != null){
                    newHash += name.hashCode();
                    newCount++;
                }
                cursor.moveToNext();
            }
    	}
    	
    	if (newCount == mContactsCount  && newHash == mContactsHash )
    	{
    	    return;
    	}
    		if (AnySoftKeyboardConfiguration.DEBUG) Log.d(TAG, ""Contacts will be reloaded since count or hash changed. New count ""+newCount+"" was(""+mContactsCount+""), new hash ""+newHash+"" (was ""+mContactsHash+"")."");
    		mContactsCount = newCount;
    		mContactsHash = newHash;
    		
    		clearDictionary();
            int loadedContacts = 0;
            final int maxWordLength = MAX_WORD_LENGTH;
            if (cursor.moveToFirst()) {
                while (!cursor.isAfterLast()) {
                    String name = cursor.getString(INDEX_NAME);

                    if (name != null) {
                        int len = name.length();

                        // TODO: Better tokenization for non-Latin writing systems
                        for (int i = 0; i < len; i++) {
                            if (Character.isLetter(name.charAt(i))) {
                                int j;
                                for (j = i + 1; j < len; j++) {
                                    char c = name.charAt(j);

                                    if (!(c == '-' || c == '\'' ||
                                          Character.isLetter(c))) {
                                        break;
                                    }
                                }

                                String word = name.substring(i, j);
                                i = j - 1;

                                // Safeguard against adding really long words. Stack
                                // may overflow due to recursion
                                // Also don't add single letter words, possibly confuses
                                // capitalization of i.
                                final int wordLen = word.length();
                                if (wordLen < maxWordLength && wordLen > 1) {
                                	if (AnySoftKeyboardConfiguration.DEBUG)
                                		Log.d(TAG, ""Contact '""+word+""' will be added to contacts dictionary."");
                                	loadedContacts++;
                                    super.addWord(word, 128);
                                }
                            }
                        }
                    }

                    cursor.moveToNext();
                }
            }
            
            Log.i(TAG, ""Loaded ""+loadedContacts+"" contacts"");
    	
        
        cursor.close();
    }","[('72', 'release', 'cursor')]","[(72, 'release', 'cursor', 'Cursor')]"
"private void addWords(Cursor cursor) {
    	int newCount = 0;
    	long newHash = 0;
    	//first checking if something has changed
    	if (cursor.moveToFirst()) {
            while (!cursor.isAfterLast()) {
                String name = cursor.getString(INDEX_NAME);
                if(name != null){
                    newHash += name.hashCode();
                    newCount++;
                }
                cursor.moveToNext();
            }
    	}
    	
    	if (newCount == mContactsCount  && newHash == mContactsHash )
    	{
    	    cursor.close();
    	    return;
    	    
    	}
    		if (AnySoftKeyboardConfiguration.DEBUG) Log.d(TAG, ""Contacts will be reloaded since count or hash changed. New count ""+newCount+"" was(""+mContactsCount+""), new hash ""+newHash+"" (was ""+mContactsHash+"")."");
    		mContactsCount = newCount;
    		mContactsHash = newHash;
    		
    		clearDictionary();
            int loadedContacts = 0;
            final int maxWordLength = MAX_WORD_LENGTH;
            if (cursor.moveToFirst()) {
                while (!cursor.isAfterLast()) {
                    String name = cursor.getString(INDEX_NAME);

                    if (name != null) {
                        int len = name.length();

                        // TODO: Better tokenization for non-Latin writing systems
                        for (int i = 0; i < len; i++) {
                            if (Character.isLetter(name.charAt(i))) {
                                int j;
                                for (j = i + 1; j < len; j++) {
                                    char c = name.charAt(j);

                                    if (!(c == '-' || c == '\'' ||
                                          Character.isLetter(c))) {
                                        break;
                                    }
                                }

                                String word = name.substring(i, j);
                                i = j - 1;

                                // Safeguard against adding really long words. Stack
                                // may overflow due to recursion
                                // Also don't add single letter words, possibly confuses
                                // capitalization of i.
                                final int wordLen = word.length();
                                if (wordLen < maxWordLength && wordLen > 1) {
                                	if (AnySoftKeyboardConfiguration.DEBUG)
                                		Log.d(TAG, ""Contact '""+word+""' will be added to contacts dictionary."");
                                	loadedContacts++;
                                    super.addWord(word, 128);
                                }
                            }
                        }
                    }

                    cursor.moveToNext();
                }
            }
            
            Log.i(TAG, ""Loaded ""+loadedContacts+"" contacts"");
    	
        
        cursor.close();
    }","[('16', 'check', 'cursor'), ('18', 'release', 'cursor'), ('74', 'release', 'cursor')]","[(18, 'release', 'cursor', 'Cursor'), (74, 'release', 'cursor', 'Cursor')]"
"@Override
      protected String[] doInBackground(Void... params) {
       try
       {
        Cursor langsCursor = getContentResolver().query(UserDictionary.Words.CONTENT_URI, 
          new String[]{UserDictionary.Words.LOCALE},
          null, null, null);
        if (langsCursor == null) throw new NullPointerException(""No device-wide user dictionary"");
        langsCursor.moveToFirst();
        ArrayList<String> langs = new ArrayList<String>();
        while(!langsCursor.isAfterLast())
        {
         String locale = langsCursor.getString(0);
         langsCursor.moveToNext();
         if (TextUtils.isEmpty(locale)) continue;
         if (langs.contains(locale)) continue;
         langs.add(locale);
        }

        return langs.toArray(new String[langs.size()]);
       }
       catch(Exception e)
       {
        //TODO: Use ASK fallback
        e.printStackTrace();
       }

       return new String[]{""en""};
      }","[('4', 'acquire', 'langsCursor'), ('7', 'check', 'langsCursor')]","[(4, 'acquire', 'langsCursor', 'Cursor'), (7, 'check', 'langsCursor', 'Cursor')]"
"@Override
    		protected String[] doInBackground(Void... params) {
    			try
    			{
    				Cursor langsCursor = getContentResolver().query(UserDictionary.Words.CONTENT_URI, 
    						new String[]{UserDictionary.Words.LOCALE},
    						null, null, null);
    				if (langsCursor == null) throw new NullPointerException(""No device-wide user dictionary"");
    				langsCursor.moveToFirst();
    				ArrayList<String> langs = new ArrayList<String>();
    				while(!langsCursor.isAfterLast())
    				{
    					String locale = langsCursor.getString(0);
    					langsCursor.moveToNext();
    					if (TextUtils.isEmpty(locale)) continue;
    					if (langs.contains(locale)) continue;
    					Log.d(TAG, ""Adding locale ""+locale+"" to editor."");
    					langs.add(locale);
    				}
    				
    				langsCursor.close();
    				//now to add all layouts locales
    				ArrayList<KeyboardAddOnAndBuilder> keyboards = KeyboardFactory.getAllAvailableKeyboards(getApplicationContext());
    				for(KeyboardAddOnAndBuilder kbd : keyboards)
    				{
    					String locale = kbd.getKeyboardLocale();
    					if (TextUtils.isEmpty(locale)) continue;
    					if (langs.contains(locale)) continue;
    					Log.d(TAG, ""Adding locale ""+locale+"" to editor."");
    					langs.add(locale);
    				}
    				return langs.toArray(new String[langs.size()]);
    			}
    			catch(Exception e)
    			{
    				//TODO: Use ASK fallback
    				e.printStackTrace();
    			}
    			
    			return new String[]{};
    		}","[('4', 'acquire', 'langsCursor'), ('7', 'check', 'langsCursor'), ('20', 'release', 'langsCursor')]","[(4, 'acquire', 'langsCursor', 'Cursor'), (7, 'check', 'langsCursor', 'Cursor'), (20, 'release', 'langsCursor', 'Cursor')]"
